City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Maragogi,BR,2020-10-30 18:21:12,-9.01,-35.22,81.27,73,75,11.43
201,Tsogni,GA,2020-10-30 18:21:12,-2.79,10.1,75.67,92,95,5.91
202,Urbano Santos,BR,2020-10-30 18:21:12,-3.21,-43.4,95.09,38,70,9.86
203,Rundu,NA,2020-10-30 18:21:12,-17.93,19.77,78.1,43,73,2.3
204,Mlonggo,ID,2020-10-30 18:21:13,-6.53,110.7,80.91,75,100,2.26
205,Moron,AR,2020-10-30 18:21:13,-34.65,-58.62,72.0,37,0,10.29
206,Duayaw Nkwanta,GH,2020-10-30 18:21:13,7.17,-2.1,79.03,69,70,2.06
207,Margate,GB,2020-10-30 18:21:13,51.38,1.39,59.0,88,80,5.99
208,Hovd,MN,2020-10-30 18:21:13,48.01,91.64,29.77,79,64,5.59
209,Husavik,IS,2020-10-30 18:21:14,66.04,-17.34,37.4,93,90,4.7
210,Puerto El Triunfo,SV,2020-10-30 18:21:14,13.28,-88.55,89.6,66,20,5.99
211,Kattivakkam,IN,2020-10-30 18:21:14,13.22,80.32,78.8,94,40,2.24
212,Dhidhdhoo,MV,2020-10-30 18:21:14,6.88,73.1,82.36,74,54,8.75
213,Kavaratti,IN,2020-10-30 18:21:15,10.57,72.64,82.6,73,49,9.22
214,Hithadhoo,MV,2020-10-30 18:21:15,-0.6,73.08,83.17,76,25,10.36
215,Ostrovnoy,RU,2020-10-30 18:21:15,68.05,39.51,34.48,89,67,20.42
216,Akola,IN,2020-10-30 18:21:16,20.73,77.0,73.96,53,7,5.17
217,Hofn,IS,2020-10-30 18:21:16,64.25,-15.21,37.4,93,90,5.82
218,Gazanjyk,TM,2020-10-30 18:21:16,39.24,55.52,55.54,32,0,13.67
219,Kudahuvadhoo,MV,2020-10-30 18:21:16,2.67,72.89,82.35,77,84,10.49
220,Gat,IL,2020-10-30 18:21:17,31.61,34.76,77.0,100,33,1.01
221,Vanavara,RU,2020-10-30 18:21:17,60.34,102.28,8.2,96,81,1.88
222,Pahrump,US,2020-10-30 18:16:19,36.21,-115.98,69.8,13,1,3.78
223,Saskylakh,RU,2020-10-30 18:21:17,71.92,114.08,-2.06,85,31,6.08
224,Champawat,IN,2020-10-30 18:21:18,29.33,80.1,52.65,67,0,5.17
225,Shelburne,CA,2020-10-30 18:21:18,44.08,-80.2,35.01,81,96,8.63
226,Calabozo,VE,2020-10-30 18:21:18,8.92,-67.43,88.74,66,79,4.61
227,Meulaboh,ID,2020-10-30 18:21:18,4.14,96.13,77.27,86,99,4.14
228,Bethel,US,2020-10-30 18:21:19,41.37,-73.41,37.4,86,90,9.17
229,Acapulco,MX,2020-10-30 18:21:19,16.86,-99.89,86.0,79,40,4.7
230,Meadow Lake,US,2020-10-30 18:21:19,34.8,-106.54,61.0,50,20,8.05
231,Ambon,ID,2020-10-30 18:21:19,-3.7,128.18,77.0,15,9,7.83
232,Birobidzhan,RU,2020-10-30 18:21:19,48.8,132.95,33.8,88,77,2.64
233,Longyearbyen,SJ,2020-10-30 18:21:20,78.22,15.64,17.6,72,0,4.7
234,Ayagoz,KZ,2020-10-30 18:21:20,47.97,80.44,32.18,93,97,4.34
235,Vondrozo,MG,2020-10-30 18:21:20,-22.82,47.28,57.54,100,57,3.36
236,Warwick,US,2020-10-30 18:20:17,41.7,-71.42,34.0,86,90,16.11
237,Russell,US,2020-10-30 18:21:21,32.35,-85.2,66.2,48,1,17.22
238,Shenjiamen,CN,2020-10-30 18:21:21,29.96,122.3,63.37,65,21,9.93
239,Alice Springs,AU,2020-10-30 18:21:21,-23.7,133.88,57.2,30,51,5.82
240,Bafq,IR,2020-10-30 18:21:21,31.61,55.41,58.12,32,0,2.13
241,Magadan,RU,2020-10-30 18:21:22,59.57,150.8,30.43,92,79,13.13
242,Batagay,RU,2020-10-30 18:21:22,67.63,134.63,-2.13,91,99,2.28
243,Athens,GR,2020-10-30 18:20:16,37.98,23.72,68.0,59,20,4.7
244,Rawah,IQ,2020-10-30 18:21:22,34.48,41.91,71.53,20,81,8.41
245,Mount Gambier,AU,2020-10-30 18:17:42,-37.83,140.77,50.0,93,90,5.82
246,Morant Bay,JM,2020-10-30 18:21:23,17.88,-76.41,90.0,70,40,8.05
247,Chapleau,CA,2020-10-30 18:21:23,47.84,-83.4,24.8,53,5,3.36
248,Naze,JP,2020-10-30 18:21:23,28.37,129.48,73.4,60,40,19.46
249,Longuenesse,FR,2020-10-30 18:21:24,50.73,2.24,57.99,95,87,8.01
250,Hami,CN,2020-10-30 18:21:24,42.8,93.45,34.32,72,0,3.22
251,Alyangula,AU,2020-10-30 18:21:24,-13.85,136.42,62.6,93,22,1.12
252,Kargat,RU,2020-10-30 18:21:24,55.2,80.28,33.71,96,99,9.55
253,Nome,US,2020-10-30 18:20:34,64.5,-165.41,21.99,85,90,3.36
254,Salinopolis,BR,2020-10-30 18:16:33,-0.61,-47.36,85.15,63,77,12.48
255,Santa Cruz,BO,2020-10-30 18:20:55,-17.8,-63.17,86.0,51,40,21.92
256,Dunedin,NZ,2020-10-30 18:19:44,-45.87,170.5,60.01,69,100,8.01
257,Saldanha,ZA,2020-10-30 18:21:25,-33.01,17.94,60.8,55,0,19.46
258,Yuanping,CN,2020-10-30 18:21:26,38.72,112.76,49.78,50,96,2.37
259,Mount Pleasant,US,2020-10-30 18:21:26,32.79,-79.86,71.6,53,1,13.87
260,Tsiroanomandidy,MG,2020-10-30 18:21:26,-18.77,46.03,71.08,46,30,6.29
261,Bantacan,PH,2020-10-30 18:21:26,7.6,126.13,75.18,84,100,0.87
262,Pisco,PE,2020-10-30 18:21:27,-13.7,-76.22,69.01,72,75,9.17
263,Half Moon Bay,US,2020-10-30 18:17:28,37.46,-122.43,64.99,77,5,4.16
264,Rawson,AR,2020-10-30 18:21:27,-43.3,-65.1,71.08,22,15,9.89
265,Concepcion Del Oro,MX,2020-10-30 18:21:27,24.63,-101.42,62.91,40,4,1.79
266,La Sarre,CA,2020-10-30 18:21:27,48.8,-79.2,23.65,89,64,3.06
267,Houma,US,2020-10-30 18:21:28,29.6,-90.72,57.2,71,90,11.41
268,La Rioja,ES,2020-10-30 18:21:28,42.25,-2.5,60.01,71,0,1.12
269,Takahagi,JP,2020-10-30 18:21:28,36.72,140.72,48.0,64,0,8.52
270,Grand Gaube,MU,2020-10-30 18:16:32,-20.01,57.66,66.99,62,0,3.0
271,Piribebuy,PY,2020-10-30 18:21:29,-25.48,-57.05,82.4,26,0,17.22
272,Tautira,PF,2020-10-30 18:21:29,-17.73,-149.15,84.0,69,40,3.36
273,Salalah,OM,2020-10-30 18:18:07,17.02,54.09,80.6,57,0,3.36
274,Port Hardy,CA,2020-10-30 18:21:30,50.7,-127.42,48.2,76,40,8.05
275,Galle,LK,2020-10-30 18:21:30,6.04,80.22,79.5,84,65,7.52
276,Corralillo,CU,2020-10-30 18:21:30,22.98,-80.59,84.47,68,0,5.68
277,Bengkulu,ID,2020-10-30 18:21:30,-3.8,102.27,76.15,87,100,4.76
278,Rocha,UY,2020-10-30 18:16:48,-34.48,-54.33,59.49,59,6,11.39
279,Flinders,AU,2020-10-30 18:21:31,-34.58,150.86,63.0,93,98,1.01
280,Klaksvik,FO,2020-10-30 18:21:31,62.23,-6.59,46.4,81,34,21.92
281,Mogadishu,SO,2020-10-30 18:20:02,2.04,45.34,80.26,79,17,12.03
282,Lamont,US,2020-10-30 18:21:31,35.26,-118.91,70.0,22,1,4.0
283,Abonnema,NG,2020-10-30 18:21:31,4.71,6.79,80.22,82,68,6.04
284,Beringovskiy,RU,2020-10-30 18:21:32,63.05,179.32,25.3,82,1,6.64
285,Vila Velha,BR,2020-10-30 18:21:32,-20.33,-40.29,80.6,78,40,19.46
286,Kedrovka,RU,2020-10-30 18:21:32,55.53,86.05,32.0,97,90,13.42
287,Kalikino,RU,2020-10-30 18:21:06,52.95,39.83,42.8,100,90,4.47
288,Vasto,IT,2020-10-30 18:21:32,42.12,14.71,55.99,91,57,0.81
289,Ormara,PK,2020-10-30 18:17:03,25.21,64.64,77.83,59,0,10.13
290,Caconda,AO,2020-10-30 18:21:33,-13.73,15.07,64.09,89,100,5.19
291,Nouadhibou,MR,2020-10-30 18:21:33,20.93,-17.03,71.6,68,0,18.34
292,Sao Filipe,CV,2020-10-30 18:21:33,14.9,-24.5,83.93,53,58,17.38
293,Vila Franca Do Campo,PT,2020-10-30 18:21:34,37.72,-25.43,69.8,88,75,17.22
294,Pochutla,MX,2020-10-30 18:17:28,15.74,-96.47,86.0,70,40,3.29
295,Bereda,ES,2020-10-30 18:21:34,43.27,-7.54,55.0,89,0,3.0
296,Burnie,AU,2020-10-30 18:21:34,-41.07,145.92,51.01,86,38,1.01
297,Umm Lajj,SA,2020-10-30 18:21:34,25.02,37.27,78.58,64,0,1.74
298,Havelock,US,2020-10-30 18:21:35,34.88,-76.9,68.0,55,75,18.34
299,Ganzhou,CN,2020-10-30 18:21:35,28.82,115.43,63.86,74,89,4.74
300,Johnstown,US,2020-10-30 18:19:04,40.33,-78.92,42.01,93,90,6.93
301,Virginia Beach,US,2020-10-30 18:17:56,36.85,-75.98,59.0,72,95,1.01
302,Sitka,US,2020-10-30 18:21:35,57.05,-135.33,39.2,93,90,6.93
303,Awbari,LY,2020-10-30 18:21:36,26.59,12.78,67.95,40,0,10.85
304,Marsh Harbour,BS,2020-10-30 18:19:38,26.54,-77.06,82.72,73,15,8.86
305,Kalmar,SE,2020-10-30 18:21:36,56.66,16.36,42.8,100,90,3.36
