City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Ulladulla,AU,64.99,moderate rain,-35.35,150.47,Sandpiper Motel
413,Cseteny,HU,55.99,clear sky,47.32,17.99,Hópihe Faház
426,Antofagasta,CL,59.0,overcast clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
428,Zajecar,RS,51.01,overcast clouds,43.9,22.26,Hotel Hamburg
430,Brignoles,FR,55.99,fog,43.4,6.07,Inter-hotel La Belle Etape
433,Gueret,FR,48.2,overcast clouds,46.17,1.87,Hôtel Restaurant Campanile Guéret
435,Nigde,TR,45.68,clear sky,37.83,34.75,
439,Zhaotong,CN,53.13,overcast clouds,27.32,103.72,Jingguan Home
441,Uruzgan,AF,55.99,clear sky,32.83,66.0,
442,Severna Park,US,48.0,overcast clouds,39.07,-76.55,Global Trans Net Corporation
447,Tamuin,MX,59.22,clear sky,21.98,-98.75,Hotel Tamuin
456,Guymon,US,48.2,clear sky,36.68,-101.48,Super 8 Guymon
458,Port Hardy,CA,46.4,clear sky,50.7,-127.42,Airport Inn
463,Korla,CN,50.07,broken clouds,41.76,86.15,Gulisitan Hotel
464,Yatou,CN,64.27,broken clouds,37.15,122.38,GreenTree Hotel Rongcheng Bus Station
465,Atherton,GB,59.0,overcast clouds,53.52,-2.49,The Mercury Motel
466,Abilene,US,50.0,clear sky,32.45,-99.73,La Quinta Inn by Wyndham Abilene
468,Krasnopavlivka,UA,49.28,overcast clouds,49.14,36.33,
469,Black Diamond,US,52.0,overcast clouds,47.31,-122.0,Lake Sawyer RV Resort
474,Pulsano,IT,60.01,broken clouds,40.38,17.36,Gabbiano Hotel
477,Faya,SA,57.2,clear sky,18.39,42.45,مقبرة ال مجمل
478,Paris,FR,54.0,few clouds,48.85,2.35,Citadines Saint-Germain-des-Prés Paris
480,Eaglesham,GB,46.99,overcast clouds,55.74,-4.27,Best Western Glasgow South Eglinton Arms Hotel
482,Parral,MX,53.2,overcast clouds,26.93,-105.67,HOTEL LOS ARCOS PARRAL
484,Nemuro,JP,51.8,scattered clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
489,Champerico,GT,64.99,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
497,Prince Rupert,CA,46.4,light rain,54.32,-130.32,Crest Hotel
503,Stornoway,GB,48.2,moderate rain,58.21,-6.39,Caladh Inn
505,Takestan,IR,51.8,scattered clouds,36.07,49.7,baghdadi hotelهتل و رستوران بغدادی
507,Panshi,CN,52.02,overcast clouds,42.94,126.06,Shangkeyou Express Hotel
511,Beeville,US,55.0,clear sky,28.4,-97.75,Holiday Inn Express & Suites Beeville
515,Zhanaozen,KZ,51.62,clear sky,43.3,52.8,K.korabay 28A
519,Huayucachi,PE,48.42,overcast clouds,-12.13,-75.23,Hostal Molinos
520,Holme,DK,51.8,scattered clouds,56.11,10.17,Helnan Marselis Hotel
521,Shebunino,RU,48.16,broken clouds,46.43,141.86,
527,Svetlaya,RU,45.16,overcast clouds,46.54,138.33,
535,Ankang,CN,59.79,overcast clouds,32.68,109.02,安琪酒店
538,Springfield,US,48.2,clear sky,37.22,-93.3,Best Western Route 66 Rail Haven
541,Hokitika,NZ,56.37,overcast clouds,-42.72,170.97,Beachfront Hotel Hokitika
546,Laguna,US,57.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
549,Bronnoysund,NO,48.2,overcast clouds,65.46,12.2,Corner Hotel
551,Kamenka,RU,48.97,overcast clouds,51.32,42.77,
553,Estelle,US,57.2,clear sky,29.85,-90.11,Comfort Inn Marrero - New Orleans West
554,Mubende,UG,64.83,broken clouds,0.56,31.39,Nakayima Hotel
555,Pontarlier,FR,46.0,clear sky,46.83,6.25,Gites Les Espaces
556,Vestmannaeyjar,IS,46.44,broken clouds,63.44,-20.27,Glamping & Camping
557,Trelleborg,SE,53.6,mist,55.38,13.16,Hotell Dannegården
562,Virginia Beach,US,54.0,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
563,Hofn,IS,45.64,light rain,64.25,-15.21,Hótel Höfn
