City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Kangalassy,RU,62.35,129.96,-2.2,77,0,2.24,clear sky
112,Macapa,BR,0.04,-51.07,78.8,88,20,3.36,few clouds
113,Souillac,MU,-20.52,57.52,71.6,49,20,14.99,few clouds
114,Verkhnyaya Inta,RU,65.98,60.31,31.84,99,100,8.14,overcast clouds
115,Indian Head,US,38.6,-77.16,46.4,75,40,6.93,scattered clouds
116,Khatanga,RU,71.97,102.5,-9.69,86,0,5.68,clear sky
117,Castro,BR,-24.79,-50.01,51.62,93,99,9.51,overcast clouds
118,Pangnirtung,CA,66.15,-65.71,12.34,79,92,3.51,overcast clouds
119,Lufilufi,WS,-13.87,-171.6,82.4,88,75,9.69,broken clouds
120,Kaitangata,NZ,-46.28,169.85,55.99,88,100,10.0,overcast clouds
121,Winnipeg,CA,49.88,-97.15,39.2,69,100,6.93,overcast clouds
122,Ascension,US,30.22,-90.9,50.0,93,1,6.2,clear sky
123,Lasa,IT,46.62,10.7,42.8,28,0,2.24,clear sky
124,Vawkavysk,BY,53.16,24.45,42.8,100,90,3.94,mist
125,Keuruu,FI,62.27,24.7,41.0,100,90,1.12,mist
126,Kudat,MY,6.88,116.85,75.2,94,40,6.93,light rain
127,Bethel,US,41.37,-73.41,30.99,92,1,3.36,clear sky
128,Ponta Do Sol,PT,32.67,-17.1,64.4,63,0,13.87,clear sky
129,Yurimaguas,PE,-5.9,-76.08,73.45,98,100,1.1,moderate rain
130,Puerto Madryn,AR,-42.77,-65.04,58.39,54,0,12.1,clear sky
131,Santa Cruz Del Norte,CU,23.15,-81.92,77.0,100,5,2.24,clear sky
132,Dudinka,RU,69.41,86.18,14.0,78,75,33.55,broken clouds
133,Kez,RU,57.9,53.72,33.55,93,97,7.07,light rain
134,Nirmali,IN,26.32,86.58,86.31,45,1,4.43,clear sky
135,Genhe,CN,50.78,121.52,28.85,96,100,8.52,snow
136,Tim,RU,51.62,37.12,44.01,100,90,6.71,mist
